MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,TERRTYPO,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_ni,NAT,FR,I553,2015,NCST_A,27491295,A,F,NR,
occ_ni,NAT,FR,I551TOI553,2016,CST_A,104033767,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR2,I551TOI553,2016,CST_A,7042439,A,F,NR,
occ_ni,NAT,FR21,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR22,I551TOI553,2016,CST_A,1047087,A,F,NR,
occ_ni,NAT,FR23,I551TOI553,2016,CST_A,1365220,A,F,NR,
occ_ni,NAT,FR24,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR25,I551TOI553,2016,CST_A,4630132,A,F,NR,
occ_ni,NAT,FR26,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR3,I551TOI553,2016,CST_A,2095191,A,F,NR,
occ_ni,NAT,FR30,I551TOI553,2016,CST_A,2095191,A,F,NR,
occ_ni,NAT,FR4,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR41,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR42,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR43,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR5,I551TOI553,2016,CST_A,34193685,A,F,NR,
occ_ni,NAT,FR51,I551TOI553,2016,CST_A,11173375,A,F,NR,
occ_ni,NAT,FR52,I551TOI553,2016,CST_A,14676655,A,F,NR,
occ_ni,NAT,FR53,I551TOI553,2016,CST_A,8343655,A,F,NR,
occ_ni,NAT,FR6,I551TOI553,2016,CST_A,13472585,A,F,NR,
occ_ni,NAT,FR61,I551TOI553,2016,CST_A,13472585,A,F,NR,
occ_ni,NAT,FR62,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR63,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR7,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR71,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR72,I551TOI553,2016,CST_A,0,A,F,NR,
occ_ni,NAT,FR8,I551TOI553,2016,CST_A,44182447,A,F,NR,
occ_ni,NAT,FR81,I551TOI553,2016,CST_A,16838741,A,F,NR,
occ_ni,NAT,FR82,I551TOI553,2016,CST_A,20441815,A,F,NR,
occ_ni,NAT,FR83,I551TOI553,2016,CST_A,6901891,A,F,NR,
occ_ni,NAT,FRA,I551TOI553,2016,CST_A,3047420,A,F,NR,
occ_ni,NAT,FRA1,I551TOI553,2016,CST_A,925627,U,N,NR,
occ_ni,NAT,FRA2,I551TOI553,2016,CST_A,964660,U,N,NR,
occ_ni,NAT,FRA4,I551TOI553,2016,CST_A,893796,A,F,NR,
occ_ni,NAT,FR,I551TOI553,2016,NCST_A,176816248,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2016,NCST_A,32917324,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2016,NCST_A,32917324,A,F,NR,
occ_ni,NAT,FR2,I551TOI553,2016,NCST_A,21161753,A,F,NR,
occ_ni,NAT,FR21,I551TOI553,2016,NCST_A,2550830,A,F,NR,
occ_ni,NAT,FR22,I551TOI553,2016,NCST_A,2649749,A,F,NR,
occ_ni,NAT,FR23,I551TOI553,2016,NCST_A,2580135,A,F,NR,
occ_ni,NAT,FR24,I551TOI553,2016,NCST_A,7310876,A,F,NR,
occ_ni,NAT,FR25,I551TOI553,2016,NCST_A,1677543,A,F,NR,
occ_ni,NAT,FR26,I551TOI553,2016,NCST_A,4392620,A,F,NR,
occ_ni,NAT,FR3,I551TOI553,2016,NCST_A,3871765,A,F,NR,
occ_ni,NAT,FR30,I551TOI553,2016,NCST_A,3871765,A,F,NR,
occ_ni,NAT,FR4,I551TOI553,2016,NCST_A,13103149,A,F,NR,
occ_ni,NAT,FR41,I551TOI553,2016,NCST_A,4747018,A,F,NR,
occ_ni,NAT,FR42,I551TOI553,2016,NCST_A,5505347,A,F,NR,
occ_ni,NAT,FR43,I551TOI553,2016,NCST_A,2850784,A,F,NR,
