MEASURE,C_RESID,NUTS,NACE_R2,TIME_PERIOD,DEGURBA,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT,UNIT_MULT
occ_ni,FOR,FR42,I551TOI553,2016,DEG2,534796,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2016,DEG2,147428,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2016,DEG2,2023344,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2016,DEG2,769678,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2016,DEG2,982635,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2016,DEG2,271031,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2016,DEG2,3060052,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2016,DEG2,1225355,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2016,DEG2,1814696,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2016,DEG2,3094659,A,F,NR,
occ_ni,FOR,FR71,I551TOI553,2016,DEG2,2898325,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2016,DEG2,196334,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2016,DEG2,8464870,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2016,DEG2,2867912,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2016,DEG2,5025291,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2016,DEG2,571667,A,F,NR,
occ_ni,FOR,FRA,I551TOI553,2016,DEG2,277838,A,F,NR,
occ_ni,FOR,FRA4,I551TOI553,2016,DEG2,96427,U,N,NR,
occ_ni,FOR,FR,I551TOI553,2016,DEG3,41911718,A,F,NR,
occ_ni,FOR,FR1,I551TOI553,2016,DEG3,1987829,A,F,NR,
occ_ni,FOR,FR10,I551TOI553,2016,DEG3,1987829,A,F,NR,
occ_ni,FOR,FR2,I551TOI553,2016,DEG3,4755515,A,F,NR,
occ_ni,FOR,FR21,I551TOI553,2016,DEG3,484001,A,F,NR,
occ_ni,FOR,FR22,I551TOI553,2016,DEG3,883832,A,F,NR,
occ_ni,FOR,FR23,I551TOI553,2016,DEG3,334838,A,F,NR,
occ_ni,FOR,FR24,I551TOI553,2016,DEG3,829186,A,F,NR,
occ_ni,FOR,FR25,I551TOI553,2016,DEG3,1205692,A,F,NR,
occ_ni,FOR,FR26,I551TOI553,2016,DEG3,1017966,A,F,NR,
occ_ni,FOR,FR3,I551TOI553,2016,DEG3,437369,A,F,NR,
occ_ni,FOR,FR30,I551TOI553,2016,DEG3,437369,A,F,NR,
occ_ni,FOR,FR4,I551TOI553,2016,DEG3,2793589,A,F,NR,
occ_ni,FOR,FR41,I551TOI553,2016,DEG3,1030102,A,F,NR,
occ_ni,FOR,FR42,I551TOI553,2016,DEG3,1015870,A,F,NR,
occ_ni,FOR,FR43,I551TOI553,2016,DEG3,747617,A,F,NR,
occ_ni,FOR,FR5,I551TOI553,2016,DEG3,5417875,A,F,NR,
occ_ni,FOR,FR51,I551TOI553,2016,DEG3,1570232,A,F,NR,
occ_ni,FOR,FR52,I551TOI553,2016,DEG3,2310333,A,F,NR,
occ_ni,FOR,FR53,I551TOI553,2016,DEG3,1537309,A,F,NR,
occ_ni,FOR,FR6,I551TOI553,2016,DEG3,6780084,A,F,NR,
occ_ni,FOR,FR61,I551TOI553,2016,DEG3,4916143,A,F,NR,
occ_ni,FOR,FR62,I551TOI553,2016,DEG3,1571111,A,F,NR,
occ_ni,FOR,FR63,I551TOI553,2016,DEG3,292830,A,F,NR,
occ_ni,FOR,FR7,I551TOI553,2016,DEG3,9221216,A,F,NR,
occ_ni,FOR,FR71,I551TOI553,2016,DEG3,8729189,A,F,NR,
occ_ni,FOR,FR72,I551TOI553,2016,DEG3,492027,A,F,NR,
occ_ni,FOR,FR8,I551TOI553,2016,DEG3,10156536,A,F,NR,
occ_ni,FOR,FR81,I551TOI553,2016,DEG3,3205089,A,F,NR,
occ_ni,FOR,FR82,I551TOI553,2016,DEG3,4430906,A,F,NR,
occ_ni,FOR,FR83,I551TOI553,2016,DEG3,2520540,A,F,NR,
occ_ni,FOR,FRA,I551TOI553,2016,DEG3,361707,U,N,NR,
occ_ni,FOR,FRA5,I551TOI553,2016,DEG3,0,A,F,NR,
occ_ni,FOR,FR,I551,2016,DEG1,44440666,A,F,NR,
occ_ni,FOR,FR,I551,2016,DEG2,16270417,A,F,NR,
occ_ni,FOR,FR,I551,2016,DEG3,9534283,A,F,NR,
occ_ni,FOR,FR,I552,2016,DEG1,6232139,A,F,NR,
occ_ni,FOR,FR,I552,2016,DEG2,3626275,A,F,NR,
occ_ni,FOR,FR,I552,2016,DEG3,7871979,A,F,NR,
occ_ni,FOR,FR,I553,2016,DEG1,3941796,A,F,NR,
occ_ni,FOR,FR,I553,2016,DEG2,7490399,A,F,NR,
occ_ni,FOR,FR,I553,2016,DEG3,24505456,A,F,NR,
occ_ni,NAT,FR,I551TOI553,2017,DEG1,105075303,A,F,NR,
occ_ni,NAT,FR1,I551TOI553,2017,DEG1,28516963,A,F,NR,
occ_ni,NAT,FR10,I551TOI553,2017,DEG1,28516963,A,F,NR,
occ_ni,NAT,FRB,I551TOI553,2017,DEG1,2833307,A,F,NR,
occ_ni,NAT,FRB0,I551TOI553,2017,DEG1,2833307,A,F,NR,
occ_ni,NAT,FRC,I551TOI553,2017,DEG1,2260443,A,F,NR,
occ_ni,NAT,FRC1,I551TOI553,2017,DEG1,1363605,A,F,NR,
occ_ni,NAT,FRC2,I551TOI553,2017,DEG1,896838,A,F,NR,
occ_ni,NAT,FRD,I551TOI553,2017,DEG1,2622551,A,F,NR,
occ_ni,NAT,FRD1,I551TOI553,2017,DEG1,1128512,A,F,NR,
